Rank,Marks
1,310
101,157
201,135
201,123
401,113
501,107
701,98
801,93
901,90
"1,001",77
"1,101",75
"1,201",74
"1,301",71
"1,001",71
"1,901",69
"2,001",68
"2,101",66
"2,201",65
"2,301",64
"1,001",62
"3,201",61
"3,301",59
"3,401",58
"3,501",57
"3,601",56
"3,801",55
"3,901",54
"4,001",53
"4,101",52
"4,201",51
"4,401",50
"4,501",49
"4,001",46
"4,701",44
"4,801",44
"4,901",43
"5,001",43
"5,004",43
